Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label
G5R,Rivière-du-Loup,Rivière-du-Loup,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.82074000000006,-69.55178999999998,False,23.0,Dining and Lunching,Travel and Transportation,Food and Beverage Retail,Retail,Office,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
G6R,Victoriaville,Saint-Christophe-d'Arthabaska,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.054955000000064,-71.96020599999997,True,10.0,Dining and Lunching,Food and Beverage Retail,Bar,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Health and Medicine
G9R,Shawinigan,Shawinigan Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.55324000000007,-72.75034699999998,True,18.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
G1S,Quebec City South,Quebec City South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.792369894000046,-71.24526610899994,False,17.0,Dining and Lunching,Landmarks and Outdoors,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
G3S,Shannon,Shannon,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.88026000000008,-71.51463999999999,False,4.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
G4S,Sept-Îles,Sept-Îles Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",50.20984600000003,-66.38522399999994,True,11.0,Dining and Lunching,Travel and Transportation,Food and Beverage Retail,Office,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G6S,Victoriaville,Victoriaville East,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.054955000000064,-71.96020599999997,True,10.0,Dining and Lunching,Food and Beverage Retail,Bar,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Health and Medicine
G7S,Saguenay,Northeast Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G1T,Upper Riverbank,Upper Riverbank,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.77353206200007,-71.25925699799996,False,11.0,Dining and Lunching,Food and Beverage Retail,Landmarks and Outdoors,Bar,Education,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Event
G5T,Dégelis,Dégelis,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.54394100000008,-68.64672699999994,False,12.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Education,Event
G6T,Victoriaville,Victoriaville Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.054955000000064,-71.96020599999997,True,10.0,Dining and Lunching,Food and Beverage Retail,Bar,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Health and Medicine
G7T,Saguenay,Southeast Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G8T,Trois-Rivières,Central and southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True,50.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education
G9T,Shawinigan,Grand-Mère,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.55324000000007,-72.75034699999998,True,18.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
G1V,Northeast Sainte-Foy,Northeast Sainte-Foy,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.78002936500008,-71.28553315099998,False,51.0,Dining and Lunching,Retail,Arts and Entertainment,Food and Beverage Retail,Bar,Travel and Transportation,Business and Professional Services,Community and Government,Education,Event
G4V,Sainte-Anne-des-Monts,Sainte-Anne-des-Monts,Quebec City,"Quebec City, Quebec","Quebec City, QC",49.126333000000045,-66.48411399999998,False,10.0,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Dining and Lunching,Landmarks and Outdoors,Retail,Community and Government,Education,Event
G5V,Montmagny,Montmagny,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.98015100000004,-70.55662199999995,False,12.0,Dining and Lunching,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Retail,Bar,Business and Professional Services,Community and Government,Education,Event
G6V,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,700.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G8V,Trois-Rivières,Trois-Rivières Northeast North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True,100.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education
G1W,Southeast Sainte-Foy,Southeast Sainte-Foy,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.75627489600004,-71.29923327399996,False,17.0,Travel and Transportation,Dining and Lunching,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
G4W,Matane,Matane,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G6W,Lévis,Lévis South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.75442671400003,-71.21841043699999,False,9.0,Travel and Transportation,Landmarks and Outdoors,Retail,Dining and Lunching,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
